employee-id,month-year,overtime-type,hours,amount,location,job-family,overtime-category
2049,January 2014,OT Regular,12.0,1311.12,Factory A,Manufacturing,OT
9580,January 2014,OT Regular,16.02,1578.13,Factory A,"Supply Chain, Logistics and Procurement",OT
7173,January 2014,Special Holiday Premium,6.0,135.12,Factory A,Manufacturing,Premium Pay
881,January 2014,OT Regular,32.0,4724.8,Factory A,"Supply Chain, Logistics and Procurement",OT
6198,January 2014,OT Special Holiday,4.0,878.8,Factory A,Manufacturing,OT
6346,January 2014,OT Regular,39.52,4755.84,Factory A,Manufacturing,OT
377,January 2014,OT Special Holiday,4.0,759.84,Factory A,Manufacturing,OT
3603,January 2014,Special Holiday Premium,6.0,189.36,Factory A,Manufacturing,Premium Pay
7055,January 2014,OT Rest day,8.0,667.6,Factory A,Manufacturing,OT
6582,January 2014,OT Rest day,6.0,819.0,Factory A,Manufacturing,OT
1464,January 2014,Night Premium,28.0,272.72,Factory A,Manufacturing,Night Differential
2098,January 2014,Night Premium,31.0,294.81,Factory A,Engineering and Technical Support,Night Differential
2537,January 2014,OT Regular,2.5,166.23,Factory A,Manufacturing,OT
5529,January 2014,OT Regular,28.0,3841.6,Factory A,Research and Development,OT
8751,January 2014,Rest Day Premium Pay,8.0,144.48,Factory A,Engineering and Technical Support,Premium Pay
